[ERROR] 2025-08-22T12:17:01.195Z - ❌ Failed to update operation 'post-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:17:01.773Z - ❌ Failed to update operation 'get-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:17:02.547Z - ❌ Failed to update operation 'put-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:17:03.053Z - ❌ Failed to update operation 'delete-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:17:03.846Z - ❌ Failed to update operation 'patch-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:17:04.362Z - ❌ Failed to update operation 'options-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:17:05.040Z - ❌ Failed to update operation 'get-configurationservice-2': Request failed with status code 400
[ERROR] 2025-08-22T12:17:05.487Z - ❌ Failed to update operation 'post-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:17:06.126Z - ❌ Failed to update operation 'get-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:17:06.368Z - ❌ Failed to update operation 'put-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:17:06.624Z - ❌ Failed to update operation 'delete-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:17:07.184Z - ❌ Failed to update operation 'patch-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:17:07.517Z - ❌ Failed to update operation 'options-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:17:07.971Z - ❌ Failed to update operation 'post-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:17:08.312Z - ❌ Failed to update operation 'get-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:17:08.592Z - ❌ Failed to update operation 'put-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:18:49.322Z - ❌ Failed to apply policy to 'post-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:18:49.969Z - ❌ Failed to apply policy to 'get-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:18:51.166Z - ❌ Failed to apply policy to 'put-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:18:51.813Z - ❌ Failed to apply policy to 'delete-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:18:52.540Z - ❌ Failed to apply policy to 'patch-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:18:53.171Z - ❌ Failed to apply policy to 'options-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:18:53.776Z - ❌ Failed to apply policy to 'get-configurationservice-2': Request failed with status code 400
[ERROR] 2025-08-22T12:18:54.520Z - ❌ Failed to apply policy to 'post-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:18:55.251Z - ❌ Failed to apply policy to 'get-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:18:55.875Z - ❌ Failed to apply policy to 'put-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:18:56.492Z - ❌ Failed to apply policy to 'delete-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:18:57.242Z - ❌ Failed to apply policy to 'patch-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:18:57.894Z - ❌ Failed to apply policy to 'options-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:18:58.538Z - ❌ Failed to apply policy to 'post-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:18:59.223Z - ❌ Failed to apply policy to 'get-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:18:59.867Z - ❌ Failed to apply policy to 'put-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:00.549Z - ❌ Failed to apply policy to 'delete-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:01.277Z - ❌ Failed to apply policy to 'head-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:01.947Z - ❌ Failed to apply policy to 'patch-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:02.629Z - ❌ Failed to apply policy to 'options-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:03.336Z - ❌ Failed to apply policy to 'post-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:03.968Z - ❌ Failed to apply policy to 'get-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:04.641Z - ❌ Failed to apply policy to 'put-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:05.304Z - ❌ Failed to apply policy to 'delete-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:06.047Z - ❌ Failed to apply policy to 'patch-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:06.779Z - ❌ Failed to apply policy to 'options-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:07.427Z - ❌ Failed to apply policy to 'post-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:18.031Z - ❌ Failed to apply policy to 'post-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:19.315Z - ❌ Failed to apply policy to 'get-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:20.004Z - ❌ Failed to apply policy to 'put-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:20.739Z - ❌ Failed to apply policy to 'delete-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:21.407Z - ❌ Failed to apply policy to 'patch-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:22.025Z - ❌ Failed to apply policy to 'options-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:22.618Z - ❌ Failed to apply policy to 'get-configurationservice-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:23.218Z - ❌ Failed to apply policy to 'post-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:23.842Z - ❌ Failed to apply policy to 'get-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:24.427Z - ❌ Failed to apply policy to 'put-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:25.043Z - ❌ Failed to apply policy to 'delete-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:25.646Z - ❌ Failed to apply policy to 'patch-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:26.249Z - ❌ Failed to apply policy to 'options-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:26.869Z - ❌ Failed to apply policy to 'post-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:27.493Z - ❌ Failed to apply policy to 'get-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:28.228Z - ❌ Failed to apply policy to 'put-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:28.994Z - ❌ Failed to apply policy to 'delete-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:29.598Z - ❌ Failed to apply policy to 'head-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:30.222Z - ❌ Failed to apply policy to 'patch-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:31.211Z - ❌ Failed to apply policy to 'options-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:31.857Z - ❌ Failed to apply policy to 'post-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:32.542Z - ❌ Failed to apply policy to 'get-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:33.195Z - ❌ Failed to apply policy to 'put-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:33.798Z - ❌ Failed to apply policy to 'delete-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:34.467Z - ❌ Failed to apply policy to 'patch-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:35.078Z - ❌ Failed to apply policy to 'options-enterpriseorchestration-2': Request failed with status code 400
[ERROR] 2025-08-22T12:19:35.676Z - ❌ Failed to apply policy to 'post-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:36.374Z - ❌ Failed to apply policy to 'get-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:37.181Z - ❌ Failed to apply policy to 'put-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:43.080Z - ❌ Failed to apply policy to 'post-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T12:19:43.885Z - ❌ Failed to apply policy to 'get-enterpriseorchestration': Request failed with status code 400
[ERROR] 2025-08-22T13:06:46.117Z - ❌ Failed to update operation 'post-noncdestageextloadtest': Request failed with status code 400
[ERROR] 2025-08-22T13:06:48.063Z - ❌ Failed to update operation 'get-noncdestageextloadtest': Request failed with status code 400
[ERROR] 2025-08-22T16:31:07.865Z - ❌ Failed to update operation 'post-noncdestageextloadtest': Request failed with status code 400
[ERROR] 2025-08-22T16:31:08.184Z - ❌ Failed to update operation 'get-noncdestageextloadtest': Request failed with status code 400
